a | zu, an, bei
piscine | Schwimmbad
pise | Erbse
pissar | pinkeln, urinieren
pissuore | Urinal, Pissoir
pistache | Pistazie
pistachiero | Pistazienbaum
pistar | zerstoßen, zermalmen
piste | Rennstrecke
pistel | Meißel, Stößel
pistelar | meißeln
pistille | Stempel (botanisch)
pistol | Pistole
piston | Kolben, Klapphorn (musik.)
piton | Python
pivot | Zapfen, Angelpunkt (fig.), Türangel
placatar | plakatieren
placate | Plakat
placca | Platte
placenta | Plazenta, Nachgeburt
placid | still, sanft
placiditá | Stille, Sanftheit
plafon | Decke (Zimmer)
plage | Strand
plagiar | plagiatieren, fälschend nachahmen
plagiate | Plagiat
plagiator | Plagiator
plan | Plan
plan de cité | Stadtplan
planc-suol | Fußboden
planca | Brett
plance de fenestre | Fensterbrett
planetari | Planeten-
planetarium | Planetarium
planete | Planet
plani | eben, platt
plantage | Plantage, Pflanzung
plantago | Wegerich
plantar | pflanzen
plantation | Pflanzung
plantator | Pflanzer
plante | Pflanze
planura | Ebene
plaquette | Plakette, Abzeichen
plasma | Plasma
plastic | aus Plastik
plastica | Plastik
plastre | Pflaster (medizinisch)
plat | platt, eben
plat-pisc | Scholle
platitá | Plattheit, Flachheit
plate | Gang
platform | Bahnsteig, Plattform
platil | Teller
platine | Platin
plató | Hochebene, Plateau
platonic | platonisch
plausibil | plausibel, annehmbar, wahrscheinlich
plazza | Platz (in einer Stadt)
plazza de stationament | Parkplatz
plazzament | Platzierung
plazzar | platzieren
plebeyan | plebejisch
plebeyo | Plebejer
plebiscite | Volksabstimmung, Referendum, Plebiszit
plectage | Geflecht
plecter | flechten, winden
plectura | Geflecht, Zopf
plenda | Plädoyer
pledar | plädieren (bei Gericht), für etwas einstehen
plen | voll
plenar | füllen
plenari | Voll-, Plenar-
plende | Klage, Beschwerde
plendir | klagen
plendir se | sich beschweren
plenditor | Kläger (vor Gericht)
plenipotentiari | bevollmächtigt
plenipotentiario | Bevollmächtigter
plenitá | Fülle
ples | bitte (Aufforderung), gefälligst
ples dar me | bitte geben Sie mir
ples intrar | bitte einzutreten
ples sedentar vos! | bitte nehmen Sie Platz!
plesent | freundlich, angenehm, sympathisch
plensentie | Gefallen
pleser | gefallen
plesura | Vergnügen
con plesura | gerne, mit Vergnügen
pleura | Brustfell
pleurite | Brustfellentzündung
pleuronecte | Flunder
pleve | Spreu
plica | Falte
plicar | falten
plongea | Tauchen
plongeada | Tauchen
plongear | eintauchen, untertauchen, tauchen
plongero | Taucher
plorada | Weinen
plorar | weinen
plu | mehr
plu ... plu | je (mehr) ... desto (mehr)
pluccar | rupfen, putzen, auszupfen, verlesen
pluccation | Rupfen
pluche | Plüsch
plug | Pflug
plugar | pflügen
plugator | Pflüger
plum | Feder
plumage | Gefieder
plumat | gefiedert
plumbe | Blei
plumbero | Klempner
plumosi | gefiedert, voller Federn
pluparte | Mehrzahl
pluperfecte | Plusquamperfekt
plurale | Plural
pluralitá | Pluralität
pluri | mehrere
plus | plus
plutocrat | Plutokrat, Ausbeuten
pluviar | regnen
pluvie | Regen
pluviosi | regnerisch
pneumatic | pneumatisch, Druckluft-
pneumatico | Reifen
pneumonie | Lungenentzündung
poc | wenig
un poc | ein bisschen, etwas
poc a poc | allmählich, nach und nach
podest | Bürgermeister
poema | Gedicht
poesie | Poesie
poete | Dichter
poetessa | Dichterin
poetica | Poetik, Dichtkunst
poetisar | poetisieren
pogrom | Pogrom
polemica | Polemik
polemicar | polemisieren
polichinelle | Hanswurst, Possenreißer
policial | polizeilich
policie | Polizei
policist | Polizist
poligamie | Vielehe, Polygamie
poliglott | vielsprachig, polyglott
Polinesia | Polynesien
polinesian | polynesisch
polir | polieren
polition | Polieren
politura | Politur
polit | höflich
politeisme | Vielgötterei, Polytheismus
politesse | Höflichkeit
politica | Politik
political | politisch
politico | Politiker
polip | Polyp
polka | Polka
pollice | Daumen
pollinar | bestäuben
polline | Pollen, Blütenstaub
polluer | entweihen, schänden, besudeln
pollution | Verschmutzung, Entweihung, Schändung
polo | Polo
polones | polnisch
polonese | Polonese (Tanz)
Polonia | Polen
poltron | 1. Feigling, 2. feige
poltoneríe | Feigheit
polvar | verstauben
polve | Staub
polvosi | staubig
pom | Apfel
pomade | Pomade
pomel | Sattelkopf, Degenkopf
pomeran | pommerisch
Pomerania | Pommern
pomiero | Apfelbaum
pompe | Pomp, Gepränge
pomposi | pompös
ponderar | wiegen
ponderosi | schwer (an Gewicht)
ponie | Pony
ponte | Brücke
pontificatu | Pontifikat
ponton | Ponton
popline | Popeline (Stoff)
pople | Pappel
popul | Volk
populache | Pöbel
popular | bevölkern
populari | populär, beliebt
popularisar | beliebt machen
popularitá | Popularität, Beliebtheit
population | Bevölkerung
populosi | dicht besiedelt
por | für, um zu (Ziel)
por que | damit, auf dass
por to | damit, auf dass
porcelane | Porzellan
porcelanin | aus Porzellan
porcelanería | Porzellanmanufaktur
porcine | Schweinefleisch
pore | Pore
porosi | porös
pornografic | pornographisch
pornografie | Pornographie
porro | Lauch
porta | Tür, Tor
porta-lettre | Briefträger
porta-moné | Portemonnaie, Geldbörse
porta-strumpes | Strumpfhalter
porta-voce | Sprecher
portabil | tragbar
portabil computator | Laptop
portabil telefon | Handy, Mobiltelefon
portage | Porto
portale | Portal
portar | tragen, anhaben
portativ | tragbar
portator | Träger
porte | Porto, Frankatur
portero | Pförtner
portico | Vorhalle
portretar | porträtieren
portete | Porträt
portretist | Porträtmaler
portu | Hafen
portuari | Hafen-
portuore | Tragbahre
Portugal | Portugal
portugalesi | Portugiesisch, portugiesisch
pos | nach (zeitlich)
pos-deman | übermorgen
pos que | nachdem
pos to | danach, nachher
posa | Pose
posar | posieren
posir | setzen, stellen, legen
position | Lage
positura | Haltung, Pose
positiv | positiv
poslabor | Feierabend
poslassar | zurücklassen
pos-midí | Nachmittag
posmidían | nachmittäglich
posseder | besitzen
posser | können
possession | Besitz, Eigentum
possessiv | besitzend
possessor | Besitzer
possibil | möglich
possibilisar | ermöglichen
possibilitá | Möglichkeit
posscrite | Postskriptum
postmann | Briefträger, Postmann
posta | Post
post-carte | Postkarte
post-code | Postleitzahl
post-marca | Briefmarke
post-oficia | Postamt
postal | postalisch
postament | Sockel
postar | stationieren, aufstellen, postieren
posteriore | Hintern, Po, Hinterteil
posteriori | hinterer, neuer, späterer
posterité | Nachkommenschaft
posthum | posthum
posto | Posten, Wachposten
posto de labor | Arbeitsplatz
postular | fordern, sich um etwas bewerben
postulate | Forderung, Postulat
postulation | Forderung
postulativ | fordernd
postura | Haltung, Stellung
potasse | Kali, Pottasche
potate | Kartoffel
potates frit | Pommes Frites
potent | mächtig
potentiar | ermächtigen
potentate | Potentat, Machthaber
potential(e) | Potential
potentie | Macht, Leistung
potte | Topf
pottería | Töpferei
pottero | Töpfer
povresse | Armut
povri | arm
povritá | Armut
poy | nachher, darauf, hernach, alsdann
practic | praktisch
practica | Praktik
practical | praktisch
practicante | Praktikant
practicar | ausüben, praktizieren
pram | Fähre
prate | Wiese
prebandario | Inhaber von Pfründen
prebende | Pfründe
precari | schwankend, unsicher, prekär
precaritá | Schwankung, Unsicherheit
precaution | Vorsicht
precedent | vorherig
precepter | lehren
processor | Vorgänger
precie | Preis
precie-liste | Preisliste
preciosi | teuer, wertvoll
preciositá | Wert
precipitar | hinabstürzen
precipitie | Abgrund
precipue | besonders, vor allem
precis | genau
preciser | präzisieren
precision | Genauigkeit, Präzision
precisitá | Genauigkeit
precoci | frühreif
precocitá | Frühreife
pre-code | Vorwahl
precondition | Vorbedingung, Voraussetzung
precursor | Vorläufer
preda | Beute
predatori | Raubtier-, räuberisch
predestinar | vorherbestimmen
predica | Predigt
predicar | predigen
predication | Predigt
predicator | Prediger
predilection | Vorliebe
predir | vorhersagen
predition | Vorhersage
predominantie | Vorherrschaft
predominar | vorherrschen
prefacie | Vorwort
prefecte | Präfekt, Statthalter, Amtshauptmann
prefectur | Präfektur
preferentie | Präferenz
preferer | bevorzugen, vorziehen
preferet | Lieblings-, bevorzugt
prefixar | präfigieren
prefixe | Vorsilbe, Präfix
prega | Gebet
pregar | bitten, beten
pregator | Bittsteller, Betender
pregnant | prägnant
pregnantie | Prägnanz
prehistoric | prähistorisch, vorgeschichtlich
prejudicament | Vorurteil
prejudicar | präjudizieren
prejudiciar | schädigen
prejudicie | Schädigung
prelate | Prälat
preliminari | vorläufig
preliminarie | Vorläufigkeit
prelude | Vorspiel
premeditar | vorher bedenken, überlegen
premeditation | Vorüberlegung
premidí | Vormittag
premie | Prämie, Preis, Auszeichnung
premisse | Vorbedigung, Prämisse, Voraussetzung
premisser | voraussetzen, annehmen
prender | nehmen
prender con se | mitnehmen
prense | Nehmen
prension | Nehmen
prenómine | Vorname
preparar | vorbereiten
preparation | Vorbereitung
preparator | Präparator
preponderant | überwiegend
preponderar | überwiegen
preponderantie | Überwiegen
preposition | Präposition
prepucio | Vorhaut (am Penis)
prería | Prärie
presbitero | Presbytherianer
presc | fast, beinahe
prescrir | verschreiben (Medikament)
prescrition | Verschreibung, Rezept
present | anwesend, gegenwärtig
presentar | vorstellen
presentation | Show
presente | Gegenwart
presentie | Anwesenheit, Gegenwart
preservar | bewahren, beschützen
preservation | Bewahrung, Schutz
preservativ | bewahrend, beschützend
presider | präsidieren, leiten
presidente | Präsident
presidential | präsidentiell
presidentie | Präsidentschaft, Präsidium, Leitung
presse | Presse
presser | drücken
pression | Druck
pressuore | Druckerpresse
pressura | Druck
presta | Darlehen
prestage | Leihgabe, Darlehen
prestar | leihen
prestaría | Leihhaus
prestator | Entleiher
prestidigation | Gauklerei, Taschenspielerei
prestidigator | Gaukler, Taschenspieler
prestigie | Prestige, Reiz, Zauber, Einfluss, Ansehen
prestigiosi | prestigeträchtig
prestra | Priesterin
prestro | Priester
presumpter | mutmaßen, vermuten
presumptiv | mutmaßlich, annehmend
presumption | Mutmaßung, Vermutung
presumptosi | mutmaßlich
pret | fertig, bereit
pretendente | Prätendent
pretender | Anspruch erheben auf
pretension | Anspruch
préter | vorüber
preterite | Präteritum, Vergangenheit
pretextar | einen Vorwand geben, sich herausreden
pretexte | Vorwand, Ausrede
pretti | nett, anmutig, hübsch
prevalent | vorherrschend
prevalentie | Vorherrschaft
prevaler | vorherrschen
prevaricar | amts- oder pflichtwidrig handeln
prevarication | Amtspflichtverletzung, Ausflucht
preventer | vorbeugen
prevention | Vorbeuge, Prävention
preventiv | vorbeugend
pri | über, betreffs
prim | erster
in prim | zuerst
prim-ministre | Ministerpräsident
primari | erster, Chef-, vorderer
primitiv | primitiv
primordial | ursprünglich
primul | Schlüsselblume
prince | Prinz
prince-consort | Prinzgemahl
princessa | Prinzessin
principal | hauptsächlich
principatu | Fürstentum
principial | grundsätzlich
principie | Grundsatz
print-erra | Druckfehler
print-machine | Druckmaschine
printage | Druck, Ausdruck
printar | drucken
printe | Druck, Abzug
printería | Druckerei
printero | Drucker
priori | früher, eher
prioritá | Priorität
pripensar | bedenken
prisma | Prisma
prison | Gefängnis
prisonari | Gefängnis-
prisonario | Gefangener, Gefängnisinsasse
privar | jemanden einer Sache berauben, vorenthalten
privat | privat
privat proprietá | Privatbesitz
privation | Entbehrung, Mangel
privatisar | privatisieren
privatisation | Privatisierung
privelegiar | privilegieren, ein Vorrecht einräumen
privelegiat | privilegiert
privilegie | Privileg, Vorrecht
pro | wegen, infolge, aus
pro que | weil
pro quo | warum
pro to | deshalb
proa | Bug, Schiffsvorderteil
probabil | wahrscheinlich
probabilitá | Wahrscheinlichkeit
problema | Problem
problematic | problematisch
procede | Vorgehen, Verfahren
procedentie | Verfahren, Vorgehensweise
proceder | vornehmen, zu etwas schreiten
procedura | Prozedur, Vorgehensweise
processar | prozessieren
processu | Prozess (jur.)
processual | prozessual
processuar (gegen) | prozessieren (gegen)
proclamar | verkünden, ausrufen
proclamation | Ausrufung, Verkündung
procrastinar | verschieben, vertagen
procrastination | Verschiebung, Vertagung
procrear | erzeugen, zeugen
procreation | Erzeugung
procreativ | erzeugend
procreator | Erzeuger
procurar | verschaffen, besorgen
procuration | Beschaffung, Besorgung
procurator general | Staatsanwalt
procuratura | Staatsanwaltschaft
procurist | Prokurist
prodigal | Verschwendungs-
prodigar | verschwenden
prodigo | Verschwender
prodigosi | verschwenderisch
prodigie | Wunder(ding), Wunderwerk
prodigiosi | wundervoll, erstaunlich
producte | Produkt
producter | herstellen
production | Produktion
productiv | produktiv
productor | Produzent
proeminent | hervorragend, vorspringend, prominent
proeminentie | Vorsprung, Bedeutung
profan | weltlich, profan
profanar | entweihen
profanation | Entweihung
profano | Laie
professer | lehren, dozieren, öffentlich bekennen
profession | Beruf
professional | beruflich, professionell
professor | Professor
professoratu | Professur, Lehrstuhl
professura | Professur, Berufung (als Professor)
profete | Prophet
profetessa | Prophetin
profetic | prophetisch
profetie | Prophezeiung
profil | Profil
profilactic | profilaktisch, vorbeugend
profiliaxie | Vorbeugung, Profilaxe
profitabil | profitabel
profitar | profitieren
profite | Profit, Gewinn
profitosi | profitabel, gewinnbringend
profund | tief
profundesse | Tiefe
profunditá | Tiefe
profundore | Tiefe
progeniter | Nachkommenschaft erzeugen
progenitor | Nachkomme
progenitura | Nachkommenschaft
prognose | Prognose, Vorausschau
prognostic | prognostisch
programma | Programm
progress(e) | Fortschritt
progresser | voranschreiten, Fortschritte machen
progressiv | fortschrittlich, progressiv
progression | Progression
progressist | Fortschrittlicher
prohibir | verbieten
prohibition | Verbot
prohibitiv | verbietend
projecte | Plan, Projekt
projecter | vorhaben, planen
projectile | Projektil, Wurtfgeschoss
projection | Projektion
projector | Projektor
proletarian | proletarisch
proletariatu | Proletariat
proleratio | Proletarier
prolific | fruchtbar
prolix | weitschweifig
prolixitá | Weitschweifigkeit
prologo | Prolog
prolongar | verlängern
prolongation | Verlängerung
promenar | spazieren gehen
promenad-via | Spazierweg
promenada | Spaziergang
promenator | Spaziergänger
promesse | Versprechen
promesser | versprechen
prominer | hervorstehen, hervorragen
prominent | prominent, bekannt, hervorragend
prominentie | Prominenz, Bekanntheit
promiscui | sexuell freizügig
promiscuitá | Promiskuität, (sexuelle) Freizügigkeit
promoer | fördern, befördern, promoten
promotion | Förderung, Promotion
promotor | Förderer, Promotor
promontorie | Vorgebirge
prompt | unverzüglich, prompt
promptitá | Promptheit
promulgar | öffentlich bekanntmachen (ein Gesetz)
promulgation | Bekanntmachung (eines Gesetzes)
proner | eine Predigt halten
pronominal | pronominal
pronómine | Fürwort, Pronomen
pronunciar | aussprechen
pronunciation | Aussprache
propagande | Propaganda
propagandist | Propagandist
propagar | verbreiten, propagieren, ausbreiten, (sich) fortpflanzen
propagation | Propagierung
propagator | Propagandist
propedeutic | propädeutisch, erkenntnistheoretisch
propedeutica | Propädeutik, Erkenntnistheorie
propeller | Propeller
proposir | vorschlagen
proportion | Proportion, Verhältnis
proportional | proportional, verhältnismäßig
proposition | Vorschlag
propositor | Vorschlagender
propri | eigen
proprietá | Eigentum, Besitz
proprietario | Eigentümer, Besitzer
proprimen | eigentlich
propulser | vorwärtstreiben, antreiben
propulsion | Antrieb
propulsiv | antreibend
propulsor | Propeller
prorogar | verlängern (zeitlich), vertagen
prorogation | Vertagung, Verlängerung
prosa | Prosa
prosaic | prosaisch
prosaist | Prosaiker, Prosaschriftsteller
proscrir | ächten, verbannen
proscrit | geächtet, verbannt
proscrition | Ächtung, Verbannung
proselite | Proselyt, Neubekehrter
prosodie | Prosodie
prospecte | Prospekt
prosperar | gedeihen, aufblühen
prósperi | wohlhabend
prosperitá | Wohlstand, Prosperität
prostata | Vorsteherdrüse, Prostata
prosternar | (sich) anbetend, flehend niederwerfen
prostituer | sich prostituieren
prostituta | Prostituierte
prostitution | Prostitution
prostrar | entkräften
prostration | Entkräftung
protagonist | Protagonist, Urheber, Bahnbrecher
protecter | schützen, beschützen
protection | Schutz
protectional | Schutz-, schützend
protector | Beschützer
protectori | beschützend, Schutz-
protectoratu | Protektorat, Schutzgebiet
proteine | Protein
protestar | protestieren
protestation | Protest
proteste | Protest
protestante | Protestant
protestantisme | Protestantismus
protocol | Protokoll
protocolar | protokollieren
protoplasma | Protoplasma
prototipe | Prototyp
prova | Versuch, Test, Probe
provar | versuchen, anprobieren
provenient | herkommend
provenientie | Herkunft, Provenienz
provenir | herrühren, herkommen von
proverbial | sprichwörtlich
proverbie | Sprichwort
provident | vorhersehend
providentie | Vorsehung, Vorrat, Versorgung
provider | vorhersehen, sorgen
provincia | Provinz
provincial | Provinz-, provinziell
provincialisme | Provinzialismus
provision | Provision, Vorrat
provisionar | speichern
